iter	Passed	Remaining
0	56	11213
1	58	5813
2	60	3988
3	62	3075
4	64	2523
5	66	2156
6	68	1898
7	70	1700
8	72	1545
9	74	1422
10	76	1321
11	79	1239
12	81	1169
13	83	1107
14	85	1053
15	87	1004
16	89	961
17	91	922
18	93	888
19	95	857
20	97	828
21	99	801
22	100	777
23	102	753
24	104	731
25	106	710
26	107	690
27	109	671
28	110	653
29	112	637
30	114	621
31	115	606
32	117	592
33	118	579
34	120	566
35	121	554
36	123	543
37	124	532
38	126	522
39	128	512
40	129	503
41	131	494
42	132	485
43	134	476
44	136	468
45	137	460
46	139	453
47	140	445
48	142	439
49	144	432
50	145	425
51	147	418
52	148	412
53	150	406
54	151	400
55	153	394
56	155	388
57	156	383
58	158	377
59	159	372
60	161	367
61	162	362
62	164	357
63	165	352
64	167	348
65	169	343
66	170	338
67	172	334
68	173	330
69	175	325
70	177	321
71	178	317
72	180	313
73	181	309
74	183	305
75	184	301
76	186	297
77	188	294
78	189	290
79	191	286
80	192	283
81	194	279
82	195	276
83	197	272
84	199	269
85	200	265
86	202	262
87	203	259
88	205	255
89	206	252
90	208	249
91	209	246
92	211	243
93	213	240
94	214	237
95	216	234
96	217	231
97	219	228
98	220	225
99	222	222
100	224	219
101	225	216
102	227	213
103	228	211
104	230	208
105	231	205
106	233	202
107	234	200
108	236	197
109	238	194
110	239	192
111	241	189
112	242	186
113	244	184
114	245	181
115	247	179
116	248	176
117	250	174
118	252	171
119	253	169
120	255	166
121	256	164
122	258	161
123	259	159
124	261	156
125	263	154
126	264	152
127	266	149
128	267	147
129	269	144
130	270	142
131	272	140
132	274	138
133	275	135
134	277	133
135	278	131
136	280	128
137	281	126
138	283	124
139	284	122
140	286	119
141	288	117
142	289	115
143	291	113
144	292	111
145	294	108
146	295	106
147	297	104
148	298	102
149	300	100
150	302	98
151	303	95
152	305	93
153	306	91
154	308	89
155	309	87
156	311	85
157	313	83
158	314	81
159	316	79
160	317	76
161	319	74
162	320	72
163	322	70
164	323	68
165	325	66
166	327	64
167	328	62
168	330	60
169	331	58
170	333	56
171	334	54
172	336	52
173	337	50
174	339	48
175	341	46
176	342	44
177	344	42
178	345	40
179	347	38
180	348	36
181	350	34
182	351	32
183	353	30
184	354	28
185	356	26
186	357	24
187	359	22
188	360	21
189	362	19
190	364	17
191	365	15
192	367	13
193	368	11
194	370	9
195	372	7
196	373	5
197	375	3
198	376	1
199	378	0
